ObservationDate,Province/State,Country/Region,NewCases,ImportedCases
04/03/2020,Zhejiang,China,2,20
05/03/2021,Gansu,China,11,36
05/03/2020,Beijing,China,4,36
05/03/2020,Shanghai,China,1,36
06/03/2020,Gansu,China,17,60
06/03/2020,Beijing,China,3,60
06/03/2020,Shanghai,China,3,60
06/03/2020,Guangdong,China,1,60
07/03/2020,Beijing,China,2,63
07/03/2020,Gansu,China,1,63
08/03/2020,Gansu,China,4,67
09/03/2020,Beijing,China,1,69
09/03/2020,Guangdong,China,1,69
10/03/2020,Beijing,China,6,79
10/03/2020,Shanghai,China,2,79
10/03/2020,Shandong,China,1,79
10/03/2020,Gansu,China,1,79
11/03/2020,Guangdong,China,3,85
11/03/2020,Gansu,China,2,85
11/03/2020,Henan,China,1,85
12/03/2020,Shanghai,China,2,88
12/03/2020,Beijing,China,1,88
13/03/2020,Shanghai,China,4,95
13/03/2020,Gansu,China,2,95
13/03/2020,Beijing,China,1,95
14/03/2020,Beijing,China,5,111
14/03/2020,Zhejiang,China,4,111
14/03/2020,Shanghai,China,3,111
14/03/2020,Gansu,China,3,111
14/03/2020,Guangdong,China,1,111
15/03/2020,Beijing,China,4,123
15/03/2020,Guangdong,China,4,123
15/03/2020,Shanghai,China,2,123
15/03/2020,Yunnan,China,1,123
15/03/2020,Gansu,China,1,123
16/03/2020,Beijing,China,9,143
16/03/2020,Shanghai,China,3,143
16/03/2020,Guangdong,China,3,143
16/03/2020,Zhejiang,China,1,143
16/03/2020,Shandong,China,1,143
16/03/2020,Guangxi,China,1,143
16/03/2020,Yunnan,China,1,143
16/03/2020,Shaanxi,China,1,143
17/03/2020,Guangdong,China,5,155
17/03/2020,Beijing,China,3,155
17/03/2020,Shanghai,China,3,155
17/03/2020,Sichuan,China,1,155
18/03/2020,Beijing,China,21,189
18/03/2020,Guangdong,China,9,189
18/03/2020,Shanghai,China,2,189
18/03/2020,Heilongjiang,China,1,189
18/03/2020,Zhejiang,China,1,189
19/03/2020,Guangdong,China,14,228
19/03/2020,Shanghai,China,8,228
19/03/2020,Beijing,China,6,228
19/03/2020,Fujian,China,3,228
19/03/2020,Tianjin,China,1,228
19/03/2020,Liaoning,China,1,228
19/03/2020,Heilongjiang,China,1,228
19/03/2020,Zhejiang,China,1,228
19/03/2020,Shandong,China,1,228
19/03/2020,Guangxi,China,1,228
19/03/2020,Sichuan,China,1,228
19/03/2020,Gansu,China,1,228
20/03/2020,Beijing,China,14,269
20/03/2020,Shanghai,China,9,269
20/03/2020,Guangdong,China,7,269
20/03/2020,Fujian,China,4,269
20/03/2020,Zhejiang,China,2,269
20/03/2020,Shandong,China,2,269
20/03/2020,Shaanxi,China,2,269
20/03/2020,Sichuan,China,1,269
21/03/2020,Shanghai,China,14,314
21/03/2020,Beijing,China,13,314
21/03/2020,Guangdong,China,7,314
21/03/2020,Fujian,China,4,314
21/03/2020,Jiangsu,China,2,314
21/03/2020,Hebei,China,1,314
21/03/2020,Zhejiang,China,1,314
21/03/2020,Jiangxi,China,1,314
21/03/2020,Shandong,China,1,314
21/03/2020,Sichuan,China,1,314
22/03/2020,Beijing,China,10,353
22/03/2020,Shanghai,China,10,353
22/03/2020,Fujian,China,6,353
22/03/2020,Guangdong,China,6,353
22/03/2020,Shandong,China,2,353
22/03/2020,Gansu,China,2,353
22/03/2020,Zhejiang,China,1,353
22/03/2020,Henan,China,1,353
22/03/2020,Chongqing,China,1,353
23/03/2020,Beijing,China,31,427
23/03/2020,Guangdong,China,14,427
23/03/2020,Shanghai,China,9,427
23/03/2020,Fujian,China,5,427
23/03/2020,Tianjin,China,4,427
23/03/2020,Jiangsu,China,3,427
23/03/2020,Zhejiang,China,2,427
23/03/2020,Sichuan,China,2,427
23/03/2020,Shanxi,China,1,427
23/03/2020,Liaoning,China,1,427
23/03/2020,Shandong,China,1,427
23/03/2020,Chongqing,China,1,427
24/03/2020,Shanghai,China,19,474
24/03/2020,Beijing,China,5,474
24/03/2020,Guangdong,China,5,474
24/03/2020,Tianjin,China,4,474
24/03/2020,Fujian,China,4,474
24/03/2020,Neimenggu,China,2,474
24/03/2020,Jiangsu,China,2,474
24/03/2020,Sichuan,China,2,474
24/03/2020,Jilin,China,1,474
24/03/2020,Zhejiang,China,1,474
24/03/2020,Shandong,China,1,474
24/03/2020,Shaanxi,China,1,474