ObservationDate,Rescheduled,NotFlown,Flown,,,
22/01/2020,216,44,2910,,,
23/01/2020,227,73,2848,,,
24/01/2020,229,108,2830,,,
25/01/2020,221,109,2732,,,
26/01/2020,161,136,2805,,,
27/01/2020,180,120,2709,,,
28/01/2020,233,157,2688,,,
29/01/2020,246,205,2679,,,
30/01/2020,254,272,2614,,,
31/01/2020,307,460,2497,,,
01/02/2020,317,782,2036,,,
02/02/2020,352,962,1818,,,
03/02/2020,706,811,1520,,,
04/02/2020,924,854,1306,,,
05/02/2020,895,1009,1206,,,
06/02/2020,1235,812,1043,,,
07/02/2020,1534,562,1102,,,
08/02/2020,1581,497,990,,,
09/02/2020,1463,598,1004,,,
10/02/2020,1856,341,774,,,
11/02/2020,2036,359,606,,,
12/02/2020,2065,391,852,,,
13/02/2020,2212,297,504,,,
14/02/2020,2367,228,543,,,
15/02/2020,2285,206,537,,,
16/02/2020,2266,160,594,,,
17/02/2020,2345,131,447,,,
18/02/2020,2396,165,389,,,
19/02/2020,2434,178,385,,,
20/02/2020,2475,163,369,,,
21/02/2020,2532,147,427,,,
22/02/2020,2486,127,379,,,
23/02/2020,2443,134,425,,,
24/02/2020,2436,116,369,,,
25/02/2020,2490,132,338,,,
26/02/2020,2502,144,352,,,
27/02/2020,2527,132,352,,,
28/02/2020,2527,127,463,,,
29/02/2020,2460,127,399,,,
01/03/2020,2371,138,496,,,
02/03/2020,2366,126,436,,,
03/03/2020,2440,140,377,,,
04/03/2020,2445,165,385,,,
05/03/2020,2521,121,354,,,
06/03/2020,2570,116,427,,,
07/03/2020,2494,125,370,,,
08/03/2020,2474,137,397,,,
09/03/2020,2441,137,343,,,
10/03/2020,2488,146,331,,,
11/03/2020,2515,169,316,,,
12/03/2020,2541,151,302,,,
13/03/2020,2605,147,357,,,
14/03/2020,2542,142,319,,,
15/03/2020,2517,114,375,,,
16/03/2020,2434,133,359,,,
17/03/2020,2540,140,290,,,
18/03/2020,2533,160,310,,,
19/03/2020,2562,137,307,,,
20/03/2020,2623,142,344,,,
21/03/2020,2558,128,310,,,
22/03/2020,2536,140,329,,,
23/03/2020,2498,135,295,,,
24/03/2020,2597,125,250,,,